id,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,geometry
20,11103,8600000US11103,11103,1842767,0,"POLYGON ((-73.92112899999999 40.759974, -73.918966 40.762204, -73.92188 40.763574, -73.916438 40.76973, -73.914508 40.76992, -73.91431 40.77152299999999, -73.91094199999999 40.76885, -73.90418699999999 40.76753, -73.90202499999999 40.76741699999999, -73.902877 40.766608, -73.90351199999999 40.76585, -73.90524499999999 40.763687, -73.90475099999999 40.762891, -73.90551099999999 40.761637, -73.90651 40.762109, -73.907292 40.760281, -73.90920699999999 40.758066, -73.910684 40.758319, -73.912611 40.755971, -73.91149799999999 40.754557, -73.91257 40.753304, -73.91547299999999 40.753792, -73.916505 40.753892, -73.916073 40.75442899999999, -73.92246 40.757427, -73.92112899999999 40.759974))"
21,11412,8600000US11412,11412,4265905,0,"POLYGON ((-73.774181 40.705087, -73.767251 40.706313, -73.76456399999999 40.7074, -73.753356 40.710101, -73.75246 40.710317, -73.75047099999999 40.70564, -73.748643 40.701587, -73.74619 40.696119, -73.745283 40.694115, -73.74812299999999 40.690131, -73.74982799999999 40.687908, -73.750399 40.688816, -73.76200799999999 40.684551, -73.7662 40.692183, -73.765214 40.692789, -73.76989499999999 40.696359, -73.772121 40.698699, -73.775633 40.705346, -73.774181 40.705087))"
22,10018,8600000US10018,10018,836252,0,"POLYGON ((-74.00720299999999 40.75927, -74.00474299999999 40.759033, -74.001716 40.762208, -74.001036 40.761968, -73.99694199999999 40.759377, -73.998615 40.758737, -73.99680099999999 40.757789, -73.994378 40.758377, -73.984596 40.754177, -73.98504299999999 40.753554, -73.98182199999999 40.752197, -73.984076 40.749102, -73.990134 40.751659, -73.989694 40.75228, -73.99252799999999 40.753474, -73.99297899999999 40.752854, -73.998661 40.755252, -74.00150000000001 40.756452, -74.000067 40.758403, -74.002843 40.75968599999999, -74.00559299999999 40.755893, -74.006145 40.756189, -74.00495699999999 40.757872, -74.00720299999999 40.75927))"
23,10030,8600000US10030,10030,722531,0,"POLYGON ((-73.946078 40.821264, -73.944756 40.824032, -73.94292399999999 40.82326, -73.943506 40.822628, -73.94241099999999 40.822164, -73.941917 40.822837, -73.936227 40.820438, -73.937181 40.819144, -73.940855 40.814106, -73.942477 40.81391199999999, -73.94180299999999 40.812815, -73.94250599999999 40.812791, -73.944485 40.813131, -73.948677 40.815692, -73.946078 40.821264))"
24,10044,8600000US10044,10044,595884,0,"POLYGON ((-73.96158799999999 40.749823, -73.96021399999999 40.752033, -73.95901599999999 40.753595, -73.958482 40.753932, -73.955527 40.757243, -73.95384299999999 40.759355, -73.94214599999999 40.772037, -73.940078 40.77276, -73.94055899999999 40.770119, -73.942852 40.768296, -73.95254799999999 40.75711099999999, -73.956924 40.752961, -73.961491 40.749494, -73.96158799999999 40.749823))"
25,10128,8600000US10128,10128,1206193,0,"MULTIPOLYGON (((-73.939508 40.779224, -73.938829 40.780763, -73.938101 40.781237, -73.93732799999999 40.780985, -73.938833 40.780059, -73.938627 40.779402, -73.939217 40.778565, -73.939508 40.779224)), ((-73.95992099999999 40.782213, -73.955778 40.787914, -73.95092699999999 40.785866, -73.950434 40.78654, -73.94422299999999 40.783933, -73.944723 40.783247, -73.94360399999999 40.78265, -73.94383499999999 40.781355, -73.942358 40.775805, -73.94433699999999 40.773108, -73.945728 40.773622, -73.945069 40.77561, -73.95174299999999 40.777875, -73.957202 40.780179, -73.95670799999999 40.780856, -73.95992099999999 40.782213)))"
26,11416,8600000US11416,11416,1713829,0,"POLYGON ((-73.86629499999999 40.683189, -73.844272 40.689372, -73.83751099999999 40.691297, -73.835111 40.685088, -73.838078 40.684239, -73.841196 40.68335099999999, -73.84786799999999 40.681487, -73.84863399999999 40.681684, -73.848444 40.681291, -73.85014799999999 40.680808, -73.850478 40.681484, -73.85131799999999 40.68124, -73.85099099999999 40.680568, -73.85392399999999 40.679686, -73.858198 40.679431, -73.862346 40.679165, -73.863349 40.679352, -73.86410099999999 40.682373, -73.86629499999999 40.683189))"
27,11219,8600000US11219,11219,3838517,0,"POLYGON ((-74.01270199999999 40.629024, -74.01097 40.630682, -74.00853699999999 40.633028, -74.00702299999999 40.63211, -74.00796 40.633584, -74.003838 40.637546, -74.00124 40.635978, -74.000525 40.636456, -74.003253 40.638104, -73.99917599999999 40.642026, -73.99773399999999 40.64341, -73.993985 40.647101, -73.989059 40.644119, -73.991929 40.642205, -73.987455 40.639505, -73.988039 40.638947, -73.985252 40.638175, -73.981432 40.634955, -73.99254999999999 40.624274, -73.99728499999999 40.619712, -74.001694 40.622372, -74.004476 40.623145, -74.006095 40.62503299999999, -74.012142 40.628684, -74.01270199999999 40.629024))"
28,10029,8600000US10029,10029,2102364,0,"POLYGON ((-73.955778 40.787914, -73.94922 40.79691, -73.946462 40.800665, -73.935408 40.796004, -73.93266 40.795732, -73.931094 40.79409, -73.935626 40.791263, -73.939719 40.785315, -73.94360399999999 40.78265, -73.944723 40.783247, -73.94422299999999 40.783933, -73.950434 40.78654, -73.95092699999999 40.785866, -73.955778 40.787914))"
29,10280,8600000US10280,10280,297265,38397,"POLYGON ((-74.0194854329352 40.70690774995101, -74.01858899999999 40.712201, -74.01638699999999 40.713106, -74.017211 40.713544, -74.016198 40.71476699999999, -74.0137 40.713668, -74.014697 40.709779, -74.015956 40.70668, -74.01757499999999 40.70684, -74.0186545229347 40.7053254851628, -74.0194854329352 40.70690774995101))"
